PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Jaxon Smith-Njigba,WR,SEA,SF,116,45.00,2.50,21.25,5800,13.13,2.3,4.62
Malik Nabers,WR,NYG,WAS,232,45.50,6.00,19.75,7000,15.07,2.2,4.60
Jordan Love,QB,GB,DET,-120,49.50,-1.50,25.50,6100,17.34,2.8,4.57
Jaylen Warren,RB,PIT,NYJ,-152,38.00,-3.00,20.50,5200,10.76,2.1,4.54
Cade Otton,TE,TB,ATL,-127,48.00,-1.50,24.75,3800,6.67,1.8,4.33
Hunter Henry,TE,NE,LV,-152,42.50,-3.00,22.75,3900,8.25,2.1,4.31
Raheem Mostert,RB,LV,NE,128,42.50,3.00,19.75,5000,3.99,0.8,4.25
Jayden Daniels,QB,WAS,NYG,-284,45.50,-6.00,25.75,7000,21.45,3.1,4.12
Tony Pollard,RB,TEN,DEN,295,41.50,7.50,17.00,5700,9.92,1.7,4.08
Brian Robinson,RB,SF,SEA,-136,45.00,-2.50,23.75,5800,9.44,1.6,3.95
Brian Thomas,WR,JAX,CAR,-153,46.00,-3.00,24.50,6800,15.91,2.3,3.94
Colby Parkinson,TE,LAR,HOU,-143,44.50,-2.50,23.50,2500,1.92,0.8,3.92
Jameson Williams,WR,DET,GB,100,49.50,1.50,24.00,5500,12.02,2.2,3.90
Geno Smith,QB,LV,NE,128,42.50,3.00,19.75,5200,14.17,2.7,3.87
Dontayvion Wicks,WR,GB,DET,-120,49.50,-1.50,25.50,3400,6.32,1.9,3.87
Brock Purdy,QB,SF,SEA,-136,45.00,-2.50,23.75,6200,18.36,3.0,3.84
Jakobi Meyers,WR,LV,NE,128,42.50,3.00,19.75,5100,10.58,2.1,3.76
Courtland Sutton,WR,DEN,TEN,-375,41.50,-7.50,24.50,6000,12.41,2.1,3.75
San Francisco 49ers,D,SF,SEA,-136,45.00,-2.50,23.75,2900,5.99,2.1,3.68
Wan'Dale Robinson,WR,NYG,WAS,232,45.50,6.00,19.75,4500,7.18,1.6,3.59
Ja'Tavion Sanders,TE,CAR,JAX,129,46.00,3.00,21.50,2900,6.02,2.1,3.46
Adam Thielen,WR,CAR,JAX,129,46.00,3.00,21.50,4700,8.08,1.7,3.46
Tampa Bay Buccaneers,D,TB,ATL,-127,48.00,-1.50,24.75,3000,5.99,2.0,3.39
Kyler Murray,QB,ARI,NO,-257,42.50,-6.00,24.25,6400,18.81,2.9,3.38
Johnny Mundt,TE,JAX,CAR,-153,46.00,-3.00,24.50,2500,0.49,0.2,3.37
Jerry Jeudy,WR,CLE,CIN,202,46.50,6.00,20.25,5400,11.03,2.0,3.35
Luke Musgrave,TE,GB,DET,-120,49.50,-1.50,25.50,2800,2.51,0.9,3.34
Matthew Stafford,QB,LAR,HOU,-143,44.50,-2.50,23.50,5900,15.26,2.6,3.31
Las Vegas Raiders,D,LV,NE,128,42.50,3.00,19.75,2600,5.85,2.3,3.14
Brock Bowers,TE,LV,NE,128,42.50,3.00,19.75,6500,14.14,2.2,3.13
Greg Dortch,WR,ARI,NO,-257,42.50,-6.00,24.25,3500,4.55,1.3,3.07
Rashid Shaheed,WR,NO,ARI,211,42.50,6.00,18.25,4600,9.07,2.0,3.05
Carolina Panthers,D,CAR,JAX,129,46.00,3.00,21.50,2400,4.60,1.9,3.01
Jonnu Smith,TE,PIT,NYJ,-152,38.00,-3.00,20.50,4200,6.27,1.5,2.92
DeMario Douglas,WR,NE,LV,-152,42.50,-3.00,22.75,4200,7.46,1.8,2.86
Chig Okonkwo,TE,TEN,DEN,295,41.50,7.50,17.00,3400,5.82,1.7,2.86
Juwan Johnson,TE,NO,ARI,211,42.50,6.00,18.25,3300,4.57,1.4,2.74
Greg Dulcich,TE,NYG,WAS,232,45.50,6.00,19.75,2500,0.25,0.1,2.73
Chase Brown,RB,CIN,CLE,-246,46.50,-6.00,26.25,6600,13.91,2.1,2.67
Baker Mayfield,QB,TB,ATL,-127,48.00,-1.50,24.75,6600,19.96,3.0,2.63
Michael Wilson,WR,ARI,NO,-257,42.50,-6.00,24.25,4200,7.20,1.7,2.59
Brandin Cooks,WR,NO,ARI,211,42.50,6.00,18.25,4100,4.25,1.0,2.51
Aaron Rodgers,QB,PIT,NYJ,-152,38.00,-3.00,20.50,5200,13.69,2.6,2.47
Darnell Mooney,WR,ATL,TB,108,48.00,1.50,23.25,5000,9.45,1.9,2.34
Foster Moreau,TE,NO,ARI,211,42.50,6.00,18.25,2700,1.78,0.7,2.07
Zach Ertz,TE,WAS,NYG,-284,45.50,-6.00,25.75,4100,8.44,2.1,1.95
Theo Johnson,TE,NYG,WAS,232,45.50,6.00,19.75,3000,6.22,2.1,1.89
Tucker Kraft,TE,GB,DET,-120,49.50,-1.50,25.50,4000,8.36,2.1,1.85
Michael Mayer,TE,LV,NE,128,42.50,3.00,19.75,3000,3.92,1.3,1.84
Kyle Juszczyk,RB,SF,SEA,-136,45.00,-2.50,23.75,4000,1.37,0.3,1.73
Tennessee Titans,D,TEN,DEN,295,41.50,7.50,17.00,2200,4.12,1.9,1.72
Miami Dolphins,D,MIA,IND,106,46.50,2.00,22.25,2700,5.96,2.2,1.67
Houston Texans,D,HOU,LAR,121,44.50,2.50,21.00,2500,6.05,2.4,1.60
Rico Dowdle,RB,CAR,JAX,129,46.00,3.00,21.50,5000,5.37,1.1,1.60
Kalif Raymond,WR,DET,GB,100,49.50,1.50,24.00,3200,2.47,0.8,1.48
